         476        1428
 (-2.349020734013225E-003,1.237455248485590E-002)
 (-1.901117396241139E-003,1.030365968707805E-002)
 (1.06201544443482,0.273548074869081)
 (-2.189133350581375E-003,1.344142331818244E-002)
 (1.321216946403403E-003,-9.308385626933355E-003)
 (1.06050921081876,0.240017756978772)
 (2.756327418886327E-003,1.843223646656960E-002)
 (-9.731529703291111E-004,-6.073636541321537E-003)
 (1.05830492355110,0.214382124808862)
 (3.602882931271781E-003,1.072644573332578E-002)
 (-6.322753266593537E-003,-1.871283472736250E-002)
 (1.05580934672024,0.195443797063610)
 (2.380869299384494E-003,5.213641584538279E-003)
 (-1.014559442217009E-002,-2.231759302195710E-002)
 (1.05030446735235,0.166143718864339)
 (6.885756731832790E-003,1.147101365855565E-002)
 (-1.296442445916788E-002,-2.158554775779593E-002)
 (1.04661312266067,0.150815448765105)
 (2.757943412994322E-003,4.144844247608964E-003)
 (-1.630797472591925E-002,-2.441258016815139E-002)
 (1.05398819472459,0.185864518987232)
 (8.324510159565278E-003,1.649854334497957E-002)
 (-8.421395989990733E-003,-1.665652337438073E-002)
 (1.05846893299015,0.338531352508504)
 (7.206657765206781E-003,-6.909741921114106E-003)
 (6.789340172934322E-003,-6.499287837517493E-003)
 (1.06121557852321,0.298458750409680)
 (5.197528234952538E-003,-1.174989274606702E-002)
 (3.191321963394640E-003,-7.410018689995964E-003)
 (1.05904585617285,0.332551445117657)
 (6.972362143679213E-003,-7.353736867286634E-003)
 (-6.601962669755220E-003,7.126135411711666E-003)
 (1.06127062659821,0.294395439251735)
 (4.595647401994957E-003,-1.181423585951849E-002)
 (-3.085686205064928E-003,8.082024721915432E-003)
 (1.06099593686338,0.250267941393322)
 (-9.296021271615987E-004,-1.353790108487555E-002)
 (8.316482598171371E-004,1.260665867688556E-002)
 (1.03954914908413,0.128105887238228)
 (7.932062720745632E-003,1.055124960277591E-002)
 (-1.626505647298910E-002,-2.152855775113707E-002)
 (1.03550126936852,0.117654482296514)
 (1.107256617332275E-003,1.451843259325673E-003)
 (-1.798185747471469E-002,-2.289129548750664E-002)
 (1.06101540863240,0.250251366386477)
 (-1.178078571821585E-003,-1.680626364290448E-002)
 (5.435168036191869E-004,7.826696176377998E-003)
 (1.05729400776942,0.205636289094775)
 (-7.318705227575303E-003,-1.840953838010832E-002)
 (4.869071498463030E-003,1.241815714478022E-002)
 (1.05709067474163,0.205094591581409)
 (-8.538410184669129E-003,-2.133179022492089E-002)
 (2.393034980858288E-003,6.137754244817532E-003)
 (1.04981226002397,0.163925208056706)
 (-1.365604369670763E-002,-2.210673214719870E-002)
 (6.309869404582661E-003,1.030287141782507E-002)
 (1.02801764105359,0.101254791355307)
 (6.764352926335823E-003,8.188543627456430E-003)
 (-1.441466869386995E-002,-1.738451524184357E-002)
 (1.05952602843172,0.227194687827182)
 (3.626027442446322E-003,1.455858645531852E-002)
 (3.693795303883262E-003,1.456066567454591E-002)
 (1.05019632266715,0.165954666094153)
 (-1.060847623017928E-002,-1.746674922456169E-002)
 (1.027337676766800E-002,1.693009822896306E-002)
 (1.04035583459152,0.130648385835960)
 (-1.466449421208119E-002,-1.955822031002935E-002)
 (1.045250134530734E-002,1.393258336389501E-002)
 (1.04150210404357,0.134701437362142)
 (-9.775180815133797E-003,-1.324733684602434E-002)
 (1.490150843778355E-002,2.032186150458750E-002)
 (1.05009523989402,0.166635775232565)
 (-1.447733933118893E-002,-2.414494239992367E-002)
 (1.455743824428897E-003,2.504412619409166E-003)
 (1.03083619489627,0.107268387787788)
 (-1.091831248720699E-002,-1.327418696164523E-002)
 (1.306598126431045E-002,1.585224126524059E-002)
 (1.03536156587963,0.116937242893279)
 (-4.341353485249372E-003,-5.451296300017579E-003)
 (1.744329419491609E-002,2.171074046577336E-002)
 (1.02596688189307,9.715725205698630E-002)
 (-2.221664388263175E-003,-2.541732473376922E-003)
 (-1.441682931330467E-002,-1.709489481250287E-002)
 (1.03548407240255,0.117630940156729)
 (-6.633354043815117E-003,-8.321487853988004E-003)
 (-1.675939987904298E-002,-2.130583257427767E-002)
 (1.02363584805002,9.288168849140406E-002)
 (-4.143516025192925E-003,-4.774299350367434E-003)
 (1.168323539843858E-002,1.338492446122278E-002)
 (1.03165045172430,0.108139518227952)
 (3.498556570554884E-003,4.322616038020293E-003)
 (1.680150172142116E-002,2.020647463438911E-002)
 (1.02812052263873,0.101346458147908)
 (-1.079313835439264E-002,-1.280036866179935E-002)
 (-1.158589502016211E-002,-1.390206070241470E-002)
 (1.03927520945845,0.127503760131077)
 (-1.262055625650534E-002,-1.659051744770674E-002)
 (-1.293277205471391E-002,-1.720414104010894E-002)
 (1.02298614336992,9.189224044692114E-002)
 (5.790870271289722E-003,6.783861532574500E-003)
 (1.049740924896086E-002,1.198780427784506E-002)
 (1.03148789842385,0.108813295309593)
